"","Pval","log2FoldChange_BCH_vs_BPFC","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387"
"ENSMUSG00000000148",0.0796728173698965,0.280267318222458,462.138750045298,438.19660388139,403.640358934275,380.836967604182,375.760308161287,397.955915527097,353.660106576151,259.963173981237
"ENSMUSG00000000263",0.149194174795445,0.633277132222764,63.5866584828911,84.9367866554235,30.6687527621631,91.6216472786872,38.7762480166439,38.1834034087833,58.1224130584761,39.514402445148
"ENSMUSG00000000563",0.0886988066275812,-0.209360255090975,3541.54978228817,3259.44918790188,3429.95373633611,3344.74206330629,3873.9318256628,3480.62935072954,3694.22116897094,4647.10169808859
"ENSMUSG00000001134",0.0745118187537527,-0.477930657717311,61.3157063942164,49.2247286298477,56.3909324981708,56.2976386893138,82.1687160352691,74.6697666660652,53.1967848331815,100.86571150472
"ENSMUSG00000001158",0.0712335827921204,-0.219651939120047,708.5370516665,800.143137924388,895.329717734116,853.295582487051,933.399684400641,881.61235870502,895.479211358555,1082.48665645787
"ENSMUSG00000001504",0.125620376791181,0.822874163733313,57.9092782612044,79.1456421107356,23.7435505255456,76.1673935208363,27.6973200118885,24.6070821967715,27.5835180616497,54.0723401880972
"ENSMUSG00000001741",0.0571428571428571,0.642198441300256,116.954032566746,118.718463166103,111.792550391111,266.033939688718,92.3244000396282,115.398730302101,107.378695311422,77.988952194371
"ENSMUSG00000001930",0.100815256541177,0.363846769643171,231.637113044817,211.376775881111,262.168370386233,315.708326767525,207.729900089164,181.583296210659,158.605228854486,245.405236238287
"ENSMUSG00000001995",0.0740631959469655,0.212323496999587,987.864158573486,1142.78585681843,908.190807602119,1161.27678237565,869.695848373298,981.737727643607,900.40483958385,873.476264576955
"ENSMUSG00000002020",0.18255250326401,1.0781334370368,61.3157063942164,45.3639656000557,38.5832696040116,146.815410699583,38.7762480166439,45.82008409054,24.6281411264729,29.1158754858985
"ENSMUSG00000002100",0.284474962853824,1.30843822909313,22.7095208867468,5.79114454468797,12.8610898680039,61.8170150314034,6.46270800277398,22.0615219695193,6.89587951541242,6.23911617554968
"ENSMUSG00000002250",0.0846731092703694,0.23768530325755,522.318980395177,548.228350230461,656.904897873428,641.35153095081,431.154948185064,523.536886738207,563.4918689737,490.810472476575
"ENSMUSG00000002265",0.0942240830899079,0.220976376190202,7470.29689569536,8179.02647861431,6248.51104663942,6687.27637607575,6008.471954579,6481.84485865991,5970.84653470209,6064.42092263429
"ENSMUSG00000002266",0.101148034875187,0.463623423341565,161.237598295902,170.838764068295,117.728438022497,102.660399962866,97.8638640420059,112.853170074849,81.7654285398901,108.144680376194
"ENSMUSG00000002489",0.0762797881817111,0.226304573675036,1884.89023359999,2126.31523865793,1745.1509636276,2070.87000355201,1864.95288080049,1792.07439998556,1617.57630918674,1416.27937184978
"ENSMUSG00000002768",0.0589440545586369,-0.244021344072941,1001.48987110553,1034.68449198425,1259.39749245915,1303.67669200156,1338.70380057461,1286.35643483812,1317.11298744377,1504.6668510034
"ENSMUSG00000002846",0.0562461019279637,-0.316916161630737,308.849484059757,295.348371779086,391.768583671502,360.967212772659,420.999264180705,347.044710982053,451.187545436984,471.053271254001
"ENSMUSG00000003865",0.0565682226177195,0.277781714025985,349.726621655901,395.728210553678,433.319797091207,487.91286864072,328.674864141077,370.803273103074,347.749352705797,327.553599216358
"ENSMUSG00000004328",0.191683487161753,0.683287105466873,111.276652345059,69.4937345362556,121.685696443421,176.620042946867,60.0108600257583,51.7597246207952,48.2711566078869,138.300408558018
"ENSMUSG00000004748",0.0504076810825415,-0.195510272786851,1622.59526735806,1660.12810281055,1995.44755875106,1752.95392624765,2076.37575689124,1831.95484354585,2032.31420575654,2110.90097272764
"ENSMUSG00000004892",0.0520235421068698,0.165800264365328,6044.13898400766,5438.84991821945,5539.17247468874,6347.28279340303,5427.75147832974,5125.06125753447,5268.45194977509,5011.05014166232
"ENSMUSG00000005442",0.0757004129067335,0.255140597174334,3166.84268765684,3114.67057428468,2770.08089464699,3718.95577929997,2625.70593712703,3034.30779088465,2689.39301101084,2351.1069454863
"ENSMUSG00000006014",0.0779439909677169,-0.641640645215308,112.412128389397,109.066555591623,138.504044732349,100.452649426031,160.644456068953,181.583296210659,118.21507740707,257.883468589387
"ENSMUSG00000006522",0.158400191534116,0.299100102409691,839.116796765295,803.038710196732,1023.94061641415,1217.57442106496,711.821124305534,741.606546206147,733.918605568893,969.14271260205
"ENSMUSG00000006764",0.137633145316715,2.26551207975927,27.2514250640962,157.326093464023,28.6901235517009,125.841780599643,13.8486600059442,22.91004204527,9.85125645058917,23.9166120062738
"ENSMUSG00000007833",0.106166588224579,-0.382965692783754,128.308793010119,102.310220289487,104.867348154493,161.165789189016,162.490944069746,132.369131817116,200.965631592019,151.818493605042
"ENSMUSG00000010080",0.0508002049230019,0.413531897038327,94.2445116799993,104.240601804383,117.728438022497,130.257281673314,85.8616920368543,87.3975678023263,61.0777899936528,100.86571150472
"ENSMUSG00000010592",0.0738702958546143,-0.647164638385795,48.8254699065056,53.0854916596397,43.5298426301669,20.9736300999404,48.0086880206067,60.2449253783026,65.0182925738885,87.3476264576955
"ENSMUSG00000010825",0.119222586261898,0.571319178201925,93.1090356356619,82.0412143830795,132.568157100963,151.230911773255,104.32657204478,93.3372083325815,57.1372874134172,54.0723401880972
"ENSMUSG00000011382",0.0649517045558923,0.348274258263339,219.146876557107,276.044556630126,205.777437888062,219.671178415166,194.804484083616,201.099257952926,192.099500786489,135.180850470243
"ENSMUSG00000011751",0.114285714285714,0.256601122047803,6065.71302885007,5594.24563016858,5086.06638549292,6108.84573542476,4990.13382214191,5148.8198196555,5161.07325446366,3830.8173317875
"ENSMUSG00000013076",0.10341526301075,0.251685328223875,879.993934361439,928.513508664971,943.806133390438,886.411840539588,806.915256346351,708.514263251869,622.599407677235,918.189930501728
"ENSMUSG00000014198",0.2,1.54434389367264,23.8449969310842,22.1993874213039,10.8824606575417,90.5177720102693,6.46270800277398,17.8189215907656,13.7917590308248,12.4782323510994
"ENSMUSG00000014602",0.0717411612627831,0.200614021231159,19415.5048821242,19689.8914519391,17970.8998040223,22324.773428484,16006.2812348703,19386.9866907529,17306.687332395,16393.2777512568
"ENSMUSG00000014956",0.124912870688029,-0.219437250465255,3858.34759865828,4164.7981183881,4175.89694868033,3458.44121595334,4414.02956589463,4023.68219921001,4310.90982277782,5481.06356022039
"ENSMUSG00000015202",0.14429767530747,0.685575034696246,96.5154637686739,149.604567404439,129.60021328527,251.683561199285,84.0152040360617,127.278011362611,75.8546746695366,102.94541689657
"ENSMUSG00000015305",0.0594399920479392,0.253018755700142,1505.64123479131,1469.02033283585,1348.43580692994,1102.7713931495,1138.35985248862,1203.20146741455,1090.53408908022,1120.96120620709
"ENSMUSG00000015354",0.0762189647315271,0.354200871395753,197.572831714697,176.629908612983,225.563729992683,167.789040799524,188.341776080842,140.005812498872,118.21507740707,153.898198996892
"ENSMUSG00000015405",0.0829182561219719,-0.912995983527853,10.2192843990361,13.5126706042719,28.6901235517009,9.93487741576126,40.6227360174364,28.8496825755252,16.7471359660016,31.1955808777484
"ENSMUSG00000016200",0.0526428864698501,0.277107031585288,319.068768458793,279.905319659918,293.826437753627,237.333182709852,262.201296112544,224.009299998196,237.415280459199,209.010391880914
"ENSMUSG00000016481",0.0509357498204059,-0.265653070025824,263.430442286263,235.506544817311,282.943977096085,250.579685930867,296.361324127207,313.103907952023,270.909552391202,360.828885485956
"ENSMUSG00000018102",0.0747649100574447,-0.311574502447399,474.628986533008,529.889725838949,345.270797225642,387.460219214689,493.012296211615,509.112045450444,548.714984297816,605.194269028319
"ENSMUSG00000018126",0.067279769754486,-0.551126568907024,68.1285626602404,89.7627404426635,70.2413369714057,96.0371483523589,153.258504065783,103.51944924159,133.977087728013,84.2280683699207
"ENSMUSG00000018698",0.141985687307058,1.2605716267073,40.8771375961443,54.0506824170877,14.839719078466,97.1410236207768,15.6951480067368,33.9408030300296,12.8066333857659,23.9166120062738
"ENSMUSG00000018821",0.0790038851292227,-0.257608970683511,367.894238365298,338.781955864246,481.79621274753,443.757857904003,462.545244198537,462.443441284154,486.652068659105,539.683549185047
"ENSMUSG00000019230",0.221260448531972,0.526721562405161,165.779502473252,191.107769974703,78.1558538132543,102.660399962866,75.7060080324951,88.246087878077,88.6613080553025,120.622912727294
"ENSMUSG00000019579",0.0697848820767686,-0.256611110614813,509.828743907466,411.171262672846,512.464965509693,586.157767529915,560.409108240543,567.659930677246,608.80764864641,675.904252351215
"ENSMUSG00000019872",0.10174812477183,-0.335478942333547,294.088295483371,331.060429804662,282.943977096085,215.255677341494,324.058644139095,316.497988255026,334.942719320032,441.937395768102
"ENSMUSG00000019880",0.0804724204907719,-0.354729424947062,181.676167093974,210.411585123663,261.179055781002,238.43705797827,327.75162014068,220.615219695193,276.820306261556,315.075366865259
"ENSMUSG00000019929",0.123663331590988,-0.311107984984379,263.430442286263,303.06989783867,320.537932094866,296.94244720442,389.608968167231,301.224626891513,313.269955128735,464.814155078451
"ENSMUSG00000020089",0.0750867730476941,-0.228190839746288,1189.97889446553,1212.27959135468,1216.85696443421,1256.21005545959,1315.6227005647,1287.20495491387,1481.62897016861,1626.32961642662
"ENSMUSG00000020152",0.0923796708900761,-0.198673834663995,5002.90745135032,5254.49848354688,5327.4591491693,4082.13074260946,5408.36335432142,5336.34275639641,5526.55486878052,6299.42763191333
"ENSMUSG00000020182",0.185996447448886,0.472553056254844,253.211157887227,414.06683494519,203.7988086776,258.306812809793,141.256332060631,217.22113939219,187.173872561194,268.281995548636
"ENSMUSG00000020307",0.131342611601288,-0.268422743260868,574.550878434694,560.775830077285,686.58433603036,805.82894594508,745.0579083198,700.877582570112,781.204636531721,937.947131724302
"ENSMUSG00000020392",0.103166584302,-0.251143482388862,679.01467451373,748.022837022196,913.137380628275,870.957586781737,930.629952399453,871.430117796011,893.508960068437,1126.16046968672
"ENSMUSG00000020422",0.0576703604578484,0.27973018782738,1326.23601978601,1284.66889816328,1096.16058259602,1146.92640388622,808.761744347143,1143.805062112,1076.7423300494,969.14271260205
"ENSMUSG00000020436",0.106513928907879,-0.202230428791479,2273.22304076336,2321.28377166243,2341.70767058194,2045.4808723784,2386.58574102439,2414.88813558661,2456.90335877694,3074.84442185007
"ENSMUSG00000020538",0.0571428571428571,0.206912699796468,1569.2278932742,1255.71317543984,1295.01281824747,1279.39143609637,1141.1295844898,1127.68318067273,1145.70112520352,1263.42102554881
"ENSMUSG00000020914",0.125199234218837,-0.950578474430084,10.2192843990361,14.4778613617199,17.8076628941592,23.1813806367763,53.5481520229844,32.2437628785282,26.5983924165907,14.5579377429492
"ENSMUSG00000021061",0.103848861456056,0.247000922741249,3163.43625952383,3077.02813474421,2604.8653555734,3726.68290617889,2547.23019709334,2994.42734732436,2574.13331053895,2477.96897438915
"ENSMUSG00000021255",0.0789016730939458,0.544904613648713,48.8254699065056,46.3291563575037,76.1772246027922,71.7518924471647,34.1600280146624,54.3052848480474,34.4793975770621,43.6738132288477
"ENSMUSG00000021340",0.0821126660960395,0.282136086704583,732.382048597585,754.779172324332,919.073268259661,886.411840539588,554.869644238166,761.971028024165,624.569658967353,766.371436896686
"ENSMUSG00000021548",0.0556990311285301,-0.308565699484087,608.615159764815,734.510166417924,603.481909190951,515.509750351168,732.132492314252,705.968703024616,722.097097828186,889.074055015829
"ENSMUSG00000021774",0.0568506467431236,-0.23070887368249,890.213218760475,876.393207762779,839.928099841176,758.36230940311,927.860220398264,925.735402644058,944.735493611501,1150.07708169299
"ENSMUSG00000021782",0.085895759243157,0.29283562113928,758.497997617343,909.209693516011,661.851470899584,654.598034171825,664.735680285323,611.782974616284,636.39116670806,523.045906050248
"ENSMUSG00000022051",0.0672943668851927,-0.235402814891055,1945.07046394986,1954.51128383219,2091.41107545848,1727.56479507404,2213.93911295029,1944.8080136207,2340.65853265999,2587.15350746127
"ENSMUSG00000022125",0.0572136807025066,-0.358444079838411,204.385687980721,221.028683455591,184.012516572978,166.685165531106,201.26719208639,230.797460604201,273.864929326379,289.079049467135
"ENSMUSG00000022205",0.0953843067472495,-0.191703397129212,4018.44972090985,3767.13952631952,4462.79818419734,4216.80352535645,4691.00276601351,4181.50693329965,4531.57796727102,5400.99490263417
"ENSMUSG00000022342",0.0584146732245028,-0.28841016771005,1040.096056613,882.184352307467,1037.79102088739,887.515715808006,1019.2613764375,1077.62049620344,1321.05349002401,1281.09852137953
"ENSMUSG00000022443",0.102218257597167,0.28724652496739,1546.51837238746,2011.45753852162,1541.35215495,2052.10412398891,1395.94492859918,1622.37038483542,1495.42072919944,1346.60924122281
"ENSMUSG00000022658",0.094561144851225,-0.199933077652543,4389.75038740816,4160.93735535831,4852.58813865838,5396.8461872952,4969.82245413319,5180.21506245827,5446.75969153075,5997.87035009509
"ENSMUSG00000022677",0.0596706438119091,-0.280269892437614,560.925165902646,594.557506587965,639.097234979269,512.198124545914,714.590856306722,595.66109317702,673.825941220299,817.324218997008
"ENSMUSG00000022678",0.0535108102356389,0.249544508192709,422.397088493491,503.829575387853,485.753471168454,449.277234246093,331.444596142265,443.775999617637,372.37749383227,418.020783761828
"ENSMUSG00000022949",0.0700085244888189,0.572536449704625,260.024014153251,307.89585162591,365.057089330264,249.475810662449,216.03909609273,184.977376513661,112.304323536716,281.80008059566
"ENSMUSG00000022965",0.113962760239643,-0.262373401954035,594.989447232766,572.358119166661,657.89421247866,495.639995519645,663.812436284927,674.573460221839,598.956392195821,846.440094482906
"ENSMUSG00000022983",0.0571428571428571,0.212162695040729,793.697754991801,789.52603959246,696.477482082671,758.36230940311,697.972464299589,665.239739388581,690.5730771863,568.799424670946
"ENSMUSG00000023030",0.104906231246013,0.261106785678128,1034.41867639132,1047.23197183107,886.425886287036,890.82734161326,807.838500346747,955.433605295334,843.267552170433,613.513090595718
"ENSMUSG00000023236",0.0996794710239508,-0.210771299814592,3229.2938700954,2659.10053676923,3426.98579252042,2666.96264849769,3337.52706143256,3388.98918254846,3255.84025691972,3884.8896719756
"ENSMUSG00000024014",0.0713155265826525,0.467015522603329,120.360460699758,73.3544975660476,96.9528313126446,101.556524694448,57.2411280245695,80.6094071963204,87.6761824102436,58.231750971797
"ENSMUSG00000024039",0.0707234082687134,0.234202359401633,651.763249449633,656.329715064636,794.419628000547,801.413444871409,631.498896271057,544.749888631976,617.673779451941,674.86439965529
"ENSMUSG00000024130",0.0504928235323715,0.191692388342002,1708.8914467277,1595.46032206154,1525.52312126631,1767.30430473709,1359.01516858333,1608.7940636234,1480.64384452355,1327.89189269616
"ENSMUSG00000024376",0.0634875725588104,0.389016348883839,145.34093367518,153.465330434231,97.9421459178756,137.98440855224,100.633596043195,108.610569696095,84.7208054750668,114.383796551744
"ENSMUSG00000024517",0.054673244401675,-0.333845589262869,151.018313896866,106.170983319279,141.471988548043,147.919285968001,180.955824077671,196.856657574172,146.783721113779,164.296725956142
"ENSMUSG00000024659",0.063318923026544,-0.915701622256389,27.2514250640962,28.9557227234398,25.7221797360077,28.7007569788659,59.0876160253621,48.3656443177922,30.5388949968264,70.7099833228964
"ENSMUSG00000024670",0.109852400811031,-0.655168962299397,21.5740448424095,34.7468672681278,41.5512134197048,33.1162580525375,50.7784200217955,64.4875257570563,65.0182925738885,25.9963173981237
"ENSMUSG00000024750",0.0512635336398236,-0.209211119681958,2386.77064519709,2416.83765664978,2468.33994005151,2094.05138418879,2565.69507710127,2493.80050263143,2713.03602649226,3055.08722062749
"ENSMUSG00000024871",0.130718748938893,-0.47022531884304,450.783989601924,626.408801583749,461.020606037677,376.42146653051,887.237484380827,440.381919314634,655.10855396418,669.665136175666
"ENSMUSG00000024896",0.110005467198639,-0.230816496223003,874.316554139752,853.228629584027,1031.855133256,876.476963123827,1010.95218043393,923.189842416806,1063.93569666363,1268.62028902843
"ENSMUSG00000024940",0.0571428571428571,0.27141826960049,1334.18435209638,1308.79866709948,1080.33154891233,1342.31232639619,1071.88628446008,1071.68085567319,1167.37388939482,885.954496928054
"ENSMUSG00000025083",0.0681915545115186,0.625161743135644,174.86331082795,272.183793600335,163.236909863126,262.722313883464,125.561184053894,173.098095453151,110.334072246599,157.017757084667
"ENSMUSG00000025283",0.0715098404497444,-0.209591151053592,858.419889519029,838.750768222307,934.902301943358,728.557677155826,987.871080424022,929.129482947061,886.613080553025,1082.48665645787
"ENSMUSG00000025348",0.0610409792400009,0.381208548719885,438.293753114213,443.987748426078,306.687527621631,419.472601998809,301.900788129584,324.134668936783,363.51136302674,245.405236238287
"ENSMUSG00000025531",0.0933677585212933,-0.297718798263492,497.338507419755,547.263159473013,594.578077743871,366.486589114749,591.799404254017,615.177054919287,558.566240748406,699.820864357489
"ENSMUSG00000025630",0.086503700773388,-0.231370909929342,1924.63189515179,2026.90059064079,2023.14836769753,1986.97548315225,2214.86235695068,2007.59849922625,2325.8816479841,2798.24360473403
"ENSMUSG00000025927",0.169382026483664,0.856956418884264,98.7864158573486,77.2152605958396,30.6687527621631,152.334787041673,42.469224018229,44.9715640147893,46.3009053177691,64.4708671473467
"ENSMUSG00000025939",0.0974586099127156,-0.287492239837579,725.569192331561,905.348930486219,896.319032339347,781.543690039886,889.08397238162,870.58159772026,1059.01006843834,1219.74721231996
"ENSMUSG00000025956",0.0622720867779468,-0.369603840230953,163.508550384577,198.829296034287,155.322393021277,134.672782746986,215.115852092334,246.070821967715,168.456485305075,213.169802664614
"ENSMUSG00000025986",0.072994251962513,-0.198978147742431,2051.80521211757,2054.89112260678,2149.78063716711,2062.03900140467,2095.76388089956,2563.37914884299,2580.0440644093,2309.51283764931
"ENSMUSG00000026031",0.0588317509100882,0.274899387097149,272.514250640962,294.383181021638,265.136314201926,207.528550462569,228.041268097882,218.06965946794,200.965631592019,212.129949968689
"ENSMUSG00000026042",0.0822711294377728,-0.499569841400616,94.2445116799993,60.8070177192237,57.3802471034019,44.1550107367167,103.403328044384,89.0946079538278,98.5125645058916,71.7498360188213
"ENSMUSG00000026150",0.0542628084904313,-0.228285661750171,2802.35487742456,2677.43916116074,2605.85467017863,2350.15044646175,2937.76240926097,2842.54225376498,2908.09090421392,3536.53901884074
"ENSMUSG00000026247",0.0770340472288938,0.29971661728844,526.860884572526,465.221945089933,507.518392483537,521.029126693257,372.067332159702,396.258875375596,340.853473190385,532.404580313573
"ENSMUSG00000026278",0.0824866203847992,-0.2184260958084,948.122497021679,820.412143830795,1155.51945890989,905.177720102693,1119.89497248069,1066.58973521868,1090.53408908022,1178.15310448296
"ENSMUSG00000026308",0.119508429764782,-0.873931507012346,19.3030927537348,30.8861042383358,12.8610898680039,7.72712687892543,49.8551760213992,20.3644818180178,33.4942719320032,25.9963173981237
"ENSMUSG00000026360",0.0735701390135117,-0.224575336010323,1182.03056215517,1241.23531407812,1166.40191956743,1012.25362113923,1301.77404055876,1150.593222718,1449.11982388167,1475.5509755175
"ENSMUSG00000026452",0.142276805748308,0.414002526463184,1326.23601978601,1616.69451872539,1077.36360509663,2048.79249818366,919.551024394697,1316.0546374894,1149.64162778376,1169.83428291556
"ENSMUSG00000026458",0.0970551253064409,0.209087456861777,2251.64899592095,2077.09051002808,2106.25079453694,2736.50679040802,2034.82977687341,2043.23634240778,1979.11742092336,1876.93411614453
"ENSMUSG00000026484",0.0607791952637019,-0.279956052494489,405.364947828431,404.41492737071,459.041976827215,357.655586967405,490.242564210426,435.29079886013,466.949555757926,582.31750971797
"ENSMUSG00000026494",0.113854372910867,0.411932033749129,319.068768458793,377.389586162166,208.745381703755,385.252468677853,224.348292096297,229.1004204527,286.671562712145,229.807445799413
"ENSMUSG00000026683",0.144675593154324,-0.640514961134033,27.2514250640962,27.9905319659918,45.5084718406291,40.843384931463,39.6994920170401,48.3656443177922,45.3157796727102,87.3476264576955
"ENSMUSG00000026805",0.0676055523111793,1.73927783477361,60.180230349879,50.1899193872957,4.94657302615533,68.4402666419109,10.1556840043591,20.3644818180178,7.88100516047133,16.6376431347991
"ENSMUSG00000026966",0.0952280763083215,-0.237999722043681,615.428016030839,626.408801583749,740.007324712838,643.559281487646,816.147696350314,687.3012613581,902.375090873967,690.462190094164
"ENSMUSG00000027011",0.0702742227851311,-0.27323143733202,1109.36009531758,1150.50738287801,1309.85253732593,1086.21326412323,1489.1925726392,1196.41330680854,1302.33610276789,1638.80784877772
"ENSMUSG00000027188",0.0652351522475122,-0.273910453510917,506.422315774454,367.737678587686,544.123032877087,487.91286864072,523.479348224692,621.116695449542,604.867146066175,555.281339623921
"ENSMUSG00000027274",0.0887237156699786,-0.369890269455728,135.121649276144,233.576163302415,185.00183117821,147.919285968001,261.278052112148,207.887418558932,210.816888042608,226.687887711638
"ENSMUSG00000027342",0.114285714285714,-0.253522398529011,684.692054735416,558.845448562389,551.048235113704,543.106632061616,646.270800277398,692.392381812605,624.569658967353,823.563335172558
"ENSMUSG00000027447",0.0954751625287432,-0.195219641634623,15647.9953670129,14224.9813832685,16470.1095478868,17251.3626948352,17291.436883422,17075.6180044079,17336.2411017468,21105.8901691886
"ENSMUSG00000027570",0.0695216603270639,0.268553169895549,527.996360616863,447.84851145587,444.202257748749,426.095853609316,423.768996181894,414.077796966362,391.09488108839,303.636987210084
"ENSMUSG00000027715",0.0634045526919601,0.93570450985722,79.4833231036138,55.9810639319837,38.5832696040116,41.9472601998809,41.5459800178327,25.4556022725222,34.4793975770621,11.4383796551744
"ENSMUSG00000027835",0.0729965402058541,-0.401935053891029,559.789689858309,614.826512494373,528.29399919339,383.044718141018,610.264284261943,595.66109317702,696.483831056654,853.719063354381
"ENSMUSG00000027843",0.105251561350445,1.41311991706244,26.1159490197588,13.5126706042719,35.6153257883184,64.0247655682392,11.0789280047554,20.3644818180178,17.7322616110605,3.11955808777484
"ENSMUSG00000027961",0.0731927869893523,-0.958687340796606,4.54190417734936,23.1645781787519,14.839719078466,19.8697548315225,32.3135400138699,18.6674416665163,44.3306540276512,25.9963173981237
"ENSMUSG00000028016",0.0936636160525599,-0.408304522084172,152.153789941204,196.898914519391,148.39719078466,134.672782746986,156.028236066972,192.614057195418,234.459903524022,255.803763197537
"ENSMUSG00000028212",0.0897866693103116,-0.436517191750712,136.257125320481,122.579226195895,158.290336836971,112.595277378628,174.493116074897,122.186890908107,203.921008527196,216.289360752389
"ENSMUSG00000028252",0.0931821252445112,-0.31580301315957,450.783989601924,454.604846758006,419.469392617972,328.95482998854,514.246908220729,411.532236739109,518.17608930099,614.552943291643
"ENSMUSG00000028268",0.187098011568101,-0.733645856602666,45.4190417734936,68.5285437788076,46.4977864458601,40.843384931463,127.407672054687,61.9419655298041,41.3752770924745,103.985269592495
"ENSMUSG00000028358",0.0615475479319406,0.462626803222998,175.998786872288,217.167920425799,152.354449205584,213.047926804658,121.868208052309,160.37029431689,169.441610950134,98.7860061128699
"ENSMUSG00000028369",0.164482841944939,0.744288490507737,64.7221345272284,38.6076302979198,36.6046403935495,90.5177720102693,35.0832720150587,29.6982026512759,37.4347745122388,35.3549916614482
"ENSMUSG00000028583",0.0950879161686063,-0.32404430522497,149.882837852529,182.421053157671,184.012516572978,165.581290262688,199.420704085597,204.493338255929,178.307741755664,271.401553636411
"ENSMUSG00000028642",0.105123037812582,-0.789940603064621,11.3547604433734,20.2690059064079,19.7862921046213,20.9736300999404,24.0043440103033,30.5467227270267,20.6876385462372,49.9129294043974
"ENSMUSG00000028655",0.0566925827510824,0.325588139402935,262.294966241926,299.209134808878,325.484505121021,277.072692372897,232.657488099863,194.31109734692,211.802013687667,290.11890216306
"ENSMUSG00000028675",0.0686700954052198,-0.341819220377697,587.041114922405,643.782235217813,606.449853006644,447.069483709257,673.968120289286,645.723777646314,692.543328476418,882.83493884028
"ENSMUSG00000028719",0.0722115853522199,-0.249836545235384,1138.88247247035,1169.81119802697,1396.91222258627,1143.61477808096,1359.93841258372,1284.65939468662,1444.19419565637,1677.28239852694
